,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,2018
119,295552,114607,128063,74619,63098,-888888888,240490,307149,135253,135253,20646.0,20646.0,114607,114607.0,114607.0,50782,10608,30777,61917,25929,4101,800558,25421.0,25204.0,57420.0,71935.0,26193.0,20376.0,13458004.0
120,81615,31891,32180,19690,18148,-888888888,65756,82753,34532,34532,2641.0,32621.49738219895,31891,31891.0,31891.0,9277,3328,7135,16737,5570,1370,211884,31481.0,4730.0,17467.0,15786.0,11337.0,7608.0,6078107.0
121,2051647,801805,889437,494992,403397,-888888888,1666326,2106541,869414,869414,67609.0,67609.0,801805,801805.0,801805.0,305707,85332,247451,327710,169900,27855,5238130,32470.0,112159.0,388102.0,383251.0,336606.0,197029.0,116225180.0
122,443803,161693,184010,110793,96470,-888888888,354356,452927,193862,193862,32169.0,32169.0,161693,161693.0,161693.0,61902,23312,54618,82062,25865,3728,997198,27370.0,52041.0,86878.0,96656.0,40928.0,21897.0,21545067.0
123,86020,35520,46215,14770,19806,-888888888,79378,92101,38442,38442,35586.901162790695,2922.0,35520,35520.0,35520.0,14620,4636,8954,15819,5868,2130,221832,25671.0,2192.0,8297.0,15479.0,15704.0,14064.0,4390818.0
124,270805,108340,106281,60774,66217,-888888888,224551,278644,151347,151347,43007.0,43007.0,108340,108340.0,108340.0,34862,12262,36964,68981,24474,5157,816690,30154.0,16784.0,51942.0,65610.0,36557.0,22860.0,13234960.0
125,88275,37893,36697,17226,26500,-888888888,82599,97915,45984,45984,8091.0,8091.0,37893,37893.0,292610.1221590909,10560,3702,11974,22871,5635,1293,279351,22360.0,5823.0,29708.0,20142.0,8224.0,5196.0,3576443.0
126,7451118,2623878,3208433,1954835,1251632,-888888888,5808669,7540371,2853246,2853246,229368.0,229368.0,2623878,2623878.0,2623878.0,1071873,421207,574635,1073074,585943,138349,16492169,34526.0,681005.0,1114254.0,1360939.0,1129425.0,609292.0,464389967.0
127,142084,51023,57921,37278,27439,-888888888,111877,143983,56306,56306,35586.901162790695,5283.0,51023,51023.0,292610.1221590909,17348,2457,15570,26396,8925,1156,311811,25805.0,26309.0,30028.0,23001.0,9716.0,4460.0,6393991.0
128,73670,30166,26732,18046,19695,-888888888,60826,76806,36125,36125,5959.0,5959.0,30166,30166.0,30166.0,9518,3458,12159,14561,4253,1397,210055,25321.0,4956.0,22892.0,16059.0,5271.0,3165.0,3147084.0
129,214740,83501,73403,47156,59517,-888888888,176222,218022,116632,116632,33131.0,33131.0,83501,83501.0,83501.0,20491,6051,24387,58660,22296,3907,710073,27772.0,15282.0,44013.0,47573.0,32210.0,16613.0,6006401.0
130,370624,153865,139567,87423,93377,-888888888,302639,380106,170244,170244,16379.0,16379.0,153865,153865.0,153865.0,45674,15876,49386,67201,29032,5571,1035643,31069.0,23523.0,78778.0,85919.0,48381.0,23665.0,19653928.0
131,775270,331426,307557,177221,198608,-888888888,650644,806548,370029,370029,38603.0,38603.0,331426,331426.0,331426.0,126278,33821,95707,159979,62147,12313,2239610,30232.0,48191.0,155902.0,179891.0,96266.0,72660.0,43366184.85564304
132,150205,57863,54762,34213,37718,-888888888,121962,152046,67766,67766,9903.0,9903.0,57863,57863.0,57863.0,16484,3757,15255,36030,9545,2138,417455,26886.0,16985.0,32749.0,30674.0,16470.0,7869.0,5656086.0
133,101448,44562,37904,23097,29854,-888888888,84164,104712,50405,50405,5843.0,5843.0,44562,44562.0,44562.0,14604,5379,14635,20825,7212,1587,292583,27728.0,7545.0,25345.0,24466.0,10218.0,5309.0,6485632.0
