GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
22180,"Fayetteville, NC (Metropolitan Statistical Area)",14606128,15132822,15607171,16282373,17295949,17896223,17872771,18529915,19184731,19633584,19800967,19227947,19025687,18867951,19025592,18884891,18862685,19078206,19297971
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",13347273,14369822,15308398,16800554,17925474,17933907,17346799,17118642,16318065,17227160,17612555,18257207,19474137,20441292,21316461,21899993,23044562,23727377,23863192
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",4891120,4980615,5080111,5281870,5559114,5882508,6303721,6149507,5855268,6087886,6484231,6175325,6435075,6383049,6505982,6624985,7001598,7007523,6764676
22420,"Flint, MI (Metropolitan Statistical Area)",14014006,14788301,15180193,15098331,15222165,15124537,14833504,13465199,12301795,12973258,13158567,13110833,13687756,14000004,14601476,14687136,14662436,14834898,14994994
22500,"Florence, SC (Metropolitan Statistical Area)",7174780,7239435,7450817,7612727,7730566,7980515,8055284,7919844,7649975,7543417,7792210,7814729,8110859,8368983,8698537,8832789,8977245,9057097,9461135
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",4129670,4157174,4336726,4569498,4671231,4808569,4733493,4699944,4511376,4701204,4866445,4874126,5169435,4996358,4903182,4755462,4661401,4733145,4818836
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",3667786,3619750,3753503,3954456,4029376,4122549,4156828,4177976,3942363,4147994,4316602,4513009,4570420,4753881,4731295,4660717,4692644,4772639,4903922
22660,"Fort Collins, CO (Metropolitan Statistical Area)",10322415,10965216,11056904,11230966,11456991,11895420,12230229,12556619,12387826,12668463,12812918,13108117,13736743,14395250,15159509,15783607,16970074,17851909,18267696
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",7766826,8005585,8400500,8903167,9159835,9591922,9313684,9110161,8416911,8711901,8910804,8742932,8549671,8457034,8437574,8399031,8461086,8577661,8669643
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",15398982,15771993,16437368,16768979,17124660,17765951,18174528,17251121,15899854,16357299,16572384,17299373,17299016,18559930,19386854,19679528,20301090,21026580,21554076
